Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
null	Barrier	Main	silentgear:barrier		Intangible		Adamant V, Holy V*	1337	84x		-100%	5	0.5	111	wood (0)	5		1	0		1	1x	0x			20	10		10	
null	Jungle Wood	Main	silentgear:wood/jungle	Wooden	Wood, Organic		Flammable, Jagged I*	59	8x		25%	15	0.6	1	wood (0)	2		0	0			0x	0x	1x	90%	7			2	
null	Orange Wool	Main	silentgear:wool/orange	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Emerald	Main	silentgear:emerald		Gem, Casting, Advanced		Brittle I, Synergistic II	1080	24x		25%	16	1	40	emerald (2)	10		2	0		2	1x	-0.1x	1.1x	90%	16	4		6	
null	Brass	Main	silentgear:brass		Intermediate, Metal, Casting		Malleable II, Silky*	240	8x		15%	13	1.2	25	iron (2)	7		1.5	0.1		1.5	2x	0.2x			14	1		6	
null	Silver	Main	silentgear:silver		Intermediate, Metal, Casting		Malleable II, Soft I*	64	9x			20	1.1	40	gold (0)	11		0	0.2		4	0x	0.3x			11			10	
null	Carnelian	Main	silentgems:carnelian		Gem, Intermediate, Casting		Gold Digger II*	1280	37x			10	1.2	45	carnelian (2)	7		3	0			2x	0x			16	4		8	
null	Lime Wool	Main	silentgear:wool/lime	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Yellow Wool	Main	silentgear:wool/yellow	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Green Wool	Main	silentgear:wool/green	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Bronze	Main	silentgear:bronze		Intermediate, Metal, Casting		Sharp I*	300	13x		15%	12	1.1	15	bronze (2)	6		2.5	0.2		1	2x	-0.2x			15	1		6	
null	Copper	Main	silentgear:copper		Metal, Casting, Basic		Soft I*	151	12x			15	1.3	12	copper (1.5)	5		1.5	0.1		1	0.1x	0x			10			8	
null	Invar	Main	silentgear:invar		Intermediate, Metal, Casting		Malleable III, Adamant II*	640	20x		15%	13	1.2	50	iron (2)	7		3.5	0		3	2x	0x			18	2		6	
null	White Wool	Main	silentgear:wool/white	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Signalum	Main	silentgear:signalum		Endgame, Metal, Casting		Flexible II, Lustrous IV*	800	25x		15%	16	1.2	50	diamond (3)	13		3	0		4	2x	0.2x			16	2		4	
null	Turtle	Main	silentgear:turtle		Intermediate, Organic		Turtle*	0				9	0.5	20															4	
null	Refined Glowstone	Main	silentgear:refined_glowstone		Metal, Casting, Advanced		Malleable II, Lustrous IV*	300	18x		15%	18	0.8	45	iron (2)	14		5	0		3	3x	0x			19			8	
null	End Stone	Main	silentgear:end_stone		Rock, Basic		Jagged III*, Ancient II*	1164	15x		-20%	10	0.9	32	end_stone (1)	7		2	0.1		3	0x	0x	1x	80%	15	1		6	
null	Bismuth Steel	Main	silentgear:bismuth_steel		Metal, Advanced		Malleable III, Lustrous II*	1050	25x		-15%	14	1	60	diamond (3)	10		4	-0.1		5	3x	0.1x			20	4		8	
null	Aquamarine	Main	silentgems:aquamarine		Gem, Intermediate, Casting		Fortunate I*	1024	34x			12	1.3	40	aquamarine (2)	6		2	0			1x	0x			15	4		6	
null	Zinc	Main	silentgear:zinc		Metal, Casting, Basic		Malleable I, Soft II*	192	10x			15	1.1	10	stone (1)	3		1.5	0		1	0x	0x			10			2	
null	Diorite	Main	silentgear:stone/diorite	Stone	Rock, Basic		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Lime Terracotta	Main	silentgear:terracotta/lime	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Black Terracotta	Main	silentgear:terracotta/black	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Redstone Alloy	Main	silentgear:redstone_alloy		Intermediate, Metal		Malleable III, Eroded III*	840	20x		-15%	18	0.9	45	iron (2)	11		2	0.2		4	1x	0.2x			17	1		8	
null	Blaze Gold	Main	silentgear:blaze_gold		Metal, Casting, Advanced		Brilliant*, Greedy III, Malleable III	69	9x			24	1.2	45	blaze_gold (2)	15		2	0.1		5	1x	0.2x	1.2x	90%	13	1		10	
null	Brown Wool	Main	silentgear:wool/brown	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Phantom Membrane	Main	silentgear:phantom_membrane		Intermediate, Cloth, Organic		Renew II*	0	12x			10	0.7	35												6			8	
null	Iolite	Main	silentgems:iolite		Gem, Intermediate, Casting		Crushing III, Brittle II	768	32x			10	1.2	45	iolite (2)	7		3	0			2x	0x			20	6		14	
null	Granite	Main	silentgear:stone/granite	Stone	Rock, Basic		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Black Wool	Main	silentgear:wool/black	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Leaf (Leaves)	Main	silentgear:leaves		Basic, Organic		Flammable, Light I*	0	2x			12	1.1	1												3				
null	Electrum	Main	silentgear:electrum		Intermediate, Metal, Casting		Malleable II, Soft II*	96	10x			25	1.5	40	iron (2)	14		2	0.3		5	1x	0.4x			15			11	
null	Andesite	Main	silentgear:stone/andesite	Stone	Rock, Basic		Ancient I*	131	5x			5	0.5	4	stone (1)	4		1	0			0x	-0.2x	1x	80%	5				
null	Peridot	Main	silentgems:peridot		Gem, Intermediate, Casting		Jagged II*, Brittle III	512	21x			12	1.3	30	peridot (2)	6		3	0			2x	0x			15	4		6	
null	Example	Main	silentgear:example		Intangible			100	6x			1	1	0	wood (0)	1		1	0		1	0x	0x			4	1		1	
null	Azure Silver	Main	silentgear:azure_silver		Metal, Casting, Advanced		Malleable III, Soft II*, Moonwalker IV*	197	17x		50%	29	1.4	83	azure_silver (3)	19		5	0		7	2x	0x	1.2x	110%	13			13	
null	Tin	Main	silentgear:tin		Metal, Casting, Basic		Malleable I, Soft II*	192	13x			12	1.1	15	stone (1)	5		1.5	0		1	0.5x	0x			12			2	
null	Cyan Wool	Main	silentgear:wool/cyan	Wool	Cloth, Basic, Organic		Snow Walker*	0	4x			7	0.7	7												4			4	
null	Meat	Main	sgearmetalworks:meat		Casting		Organic II, Bending III, Yummy	1024	13x		-25%	7	0.6	10		6		3	-0.4		2	0x	-0.4x	0.7x	70%	20	4		8	
null	Magenta Terracotta	Main	silentgear:terracotta/magenta	Terracotta	Rock, Basic		Brittle I, Chipping II, Rustic I	165	11x		-10%	9	0.8	7	terracotta (1)	4		1.5	0.2			0x	-0.2x	1x	90%	9			3	
null	Golden (Gold)	Tip Upgrade	silentgear:gold		Intermediate, Metal, Casting		Malleable I, Soft III*	+16	+1					+30		+6					+2		+0.2							
null	Redstone	Tip Upgrade	silentgear:redstone		Intermediate, Dust, Metal, Casting									+10		x1.2		+2	+0.3			+2								
null	Lapis Lazuli	Tip Upgrade	silentgear:lapis_lazuli		Gem, Intermediate, Casting		Holy I*, Lucky IV*								lapis_lazuli (1.5)	x0.9			+0.3		+2									
null	Quartz	Tip Upgrade	silentgear:quartz		Gem, Intermediate, Casting		Chipping I, Jagged III*	+64	+4					+20	quartz (2)	+2		+4				+1.5								
null	Uru Metal	Tip Upgrade	sgearmetalworks:uru_metal		Endgame, Metal, Casting, Infusing		Malleable V, Hard V*	+16	+1					x61		+6								+0.7						
null	Dimerald	Tip Upgrade	silentgear:dimerald		Gem, Advanced		Imperial II*	+360						+25		+2		+2			+1	+0.5								
null	Amethyst	Tip Upgrade	silentgear:amethyst		Gem, Intermediate, Casting		Silky*	x0.75							amethyst (1.5)															
null	Azure Electrum	Tip Upgrade	silentgear:azure_electrum		Endgame, Metal, Casting		Malleable III	+401	+11						azure_electrum (4)	+5														
null	Glowstone	Tip Upgrade	silentgear:glowstone		Gem, Intermediate, Dust, Casting		Refractive*, Lustrous IV*							+15		x1.4		+2			+2		x1.3							
null	Tyrian Steel	Tip Upgrade	silentgear:tyrian_steel		Endgame, Metal, Casting		Imperial III*, Gold Digger III*	+251						+30	tyrian_steel (4)															
null	Crimson Iron	Tip Upgrade	silentgear:crimson_iron		Metal, Casting, Advanced		Fiery I*	+224	+8					+10	crimson_iron (3)	+2		+2												
null	Diamond	Tip Upgrade	silentgear:diamond		Gem, Casting, Advanced		Brittle II, Lustrous II*	+256	+9					+20	diamond (3)	+2		+2			+1	+0.5								
null	Refined Obsidian	Tip Upgrade	silentgear:refined_obsidian		Endgame, Metal, Casting		Vulcan*	+600																						
null	Iron	Tip Upgrade	silentgear:iron		Intermediate, Metal, Casting		Malleable II	+128	+4					+8	iron (2)	+1		+1					+0.2							
null	Crimson Steel	Tip Upgrade	silentgear:crimson_steel		Endgame, Metal, Casting		Magmatic*	+448	+16					+20	crimson_steel (4)															
null	Flint	Tip Upgrade	silentgear:flint		Rock, Basic			+31																						
null	Emerald	Tip Upgrade	silentgear:emerald		Gem, Casting, Advanced		Brittle I, Synergistic II	+512	+12					+20	emerald (2)	+2		+1			+2	+1								
null	Bronze	Tip Upgrade	silentgear:bronze		Intermediate, Metal, Casting		Malleable II	+96	+2					+6	bronze (2)	+0.75		+0.75	+0.1											
null	Copper	Tip Upgrade	silentgear:copper		Metal, Casting, Basic		Malleable I, trait.silentgear.dulling I	+32	+1					+4	copper (1.5)	+1														
null	Refined Glowstone	Tip Upgrade	silentgear:refined_glowstone		Metal, Casting, Advanced		Refractive*									+5														
null	Blaze Gold	Tip Upgrade	silentgear:blaze_gold		Metal, Casting, Advanced		Soft II*, Fiery II*	+32	+3					+14	blaze_gold (2)	+4		+1			+1									
null	Example	Tip Upgrade	silentgear:example		Intangible																									
null	Azure Silver	Tip Upgrade	silentgear:azure_silver		Metal, Casting, Advanced		Malleable II, Fortunate III*	+83	+3					+31	azure_silver (3)	+3			+0.2		+2									
null	Meat	Tip Upgrade	sgearmetalworks:meat		Casting		Yummy, Soft III*	+68								-0.1														
null	Bamboo	Tool Rod	silentgear:bamboo		Basic, Wood, Organic		Flexible III																							
null	Golden (Gold)	Tool Rod	silentgear:gold		Intermediate, Metal, Casting		Bending IV									+3														
null	Sandstone	Tool Rod	silentgear:sandstone		Rock, Basic		Brittle I																							
null	Lead	Tool Rod	silentgear:lead		Intermediate, Metal, Casting		Soft IV*	x1.1						40		x0.9														
null	Osmium	Tool Rod	silentgear:osmium		Intermediate, Metal, Casting		Malleable II	x1.1		x1.1				35																
null	Quartz	Tool Rod	silentgear:quartz		Gem, Intermediate, Casting		Brittle III									x1.2		x1.1												
null	Uru Metal	Tool Rod	sgearmetalworks:uru_metal		Endgame, Metal, Casting, Infusing		Hard V*	x4.5				+23		x100																
null	Refined Iron	Tool Rod	silentgear:refined_iron		Intermediate, Metal		Malleable IV	x1.15						25								x1.1								
null	Yellow Terracotta	Tool Rod	silentgear:terracotta/yellow	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Warped Wood	Tool Rod	silentgear:wood/warped	Wooden	Wood, Organic		Flexible II																							
null	Dimerald	Tool Rod	silentgear:dimerald		Gem, Advanced		Brittle I*, Ancient III*									x1.15														
null	Crimson Wood	Tool Rod	silentgear:wood/crimson	Wooden	Wood, Organic		Flexible II																							
null	Acacia Wood	Tool Rod	silentgear:wood/acacia	Wooden	Wood, Organic		Flexible II																							
null	Heliodor	Tool Rod	silentgems:heliodor		Gem, Casting, Advanced																									
null	Black Diamond	Tool Rod	silentgems:black_diamond		Gem, Casting, Advanced																									
null	Sapphire	Tool Rod	silentgems:sapphire		Gem, Intermediate, Casting																									
null	Basalt	Tool Rod	silentgear:basalt		Rock, Basic		Brittle III, Chipping II									x1.1		x0.9												
null	Cyan Terracotta	Tool Rod	silentgear:terracotta/cyan	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Blackstone	Tool Rod	silentgear:blackstone		Rock, Basic		Brittle I, Jagged II*, Hard I*									x0.9														
null	Pearl	Tool Rod	silentgems:pearl		Gem, Casting, Advanced		Aquatic IV, Brittle III																							
null	White Diamond	Tool Rod	silentgems:white_diamond		Gem, Casting, Advanced																									
null	Steel	Tool Rod	silentgear:steel		Intermediate, Metal, Casting		Malleable V	x1.25						40																
null	Obsidian	Tool Rod	silentgear:obsidian		Rock, Casting, Advanced		Brittle II, Chipping III									x0.9														
null	Purple Terracotta	Tool Rod	silentgear:terracotta/purple	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Ammolite	Tool Rod	silentgems:ammolite		Gem, Casting, Advanced																									
null	material.silentgems.reinforced_silver	Tool Rod	silentgems:reinforced_silver		Metal		Malleable IV																							
null	Orange Terracotta	Tool Rod	silentgear:terracotta/orange	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Azure Electrum	Tool Rod	silentgear:azure_electrum		Endgame, Metal, Casting		Flexible II, Accelerate V*									+3								x2.5						
null	Blaze Rod	Tool Rod	silentgear:blaze_rod		Metal		Flexible IV, Reach I									x1.1		x1.2				x1.1								
null	Platinum	Tool Rod	silentgear:platinum		Metal, Casting, Advanced		Malleable II, Soft IV*	x0.9		x1.1				70																
null	Wooden (Wood)	Tool Rod	silentgear:wood		Wood, Organic		Flexible II																							
null	material.silentgems.reinforced_gold	Tool Rod	silentgems:reinforced_gold		Metal		Malleable IV																							
null	Moldavite	Tool Rod	silentgems:moldavite		Gem, Intermediate, Casting																									
null	Stone	Tool Rod	silentgear:stone		Rock, Basic		Brittle II, Crushing II									x1.1														
null	Citrine	Tool Rod	silentgems:citrine		Gem, Intermediate, Casting																									
null	Turquoise	Tool Rod	silentgems:turquoise		Gem, Casting, Advanced																									
null	Tyrian Steel	Tool Rod	silentgear:tyrian_steel		Endgame, Metal, Casting		Sturdy IV*									-2														
null	Oak Wood	Tool Rod	silentgear:wood/oak	Wooden	Wood, Organic		Flexible II																							
null	Lumium	Tool Rod	silentgear:lumium		Metal, Casting, Advanced		Malleable III, Refractive*							75		x1.2						x1.1								
null	Netherwood	Tool Rod	silentgear:netherwood	Wooden	Wood, Organic		Flexible I									+1		+0.5												
null	Gray Terracotta	Tool Rod	silentgear:terracotta/gray	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Bismuth	Tool Rod	silentgear:bismuth		Intermediate, Metal		Malleable II	x1.1						35		x1.1														
null	Brown Terracotta	Tool Rod	silentgear:terracotta/brown	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Enderium	Tool Rod	silentgear:enderium		Endgame, Metal, Casting		Malleable II	x1.2						60		x1.2														
null	Kyanite	Tool Rod	silentgems:kyanite		Gem, Casting, Advanced																									
null	Blue Terracotta	Tool Rod	silentgear:terracotta/blue	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Pink Terracotta	Tool Rod	silentgear:terracotta/pink	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Titanium	Tool Rod	silentgear:titanium		Endgame, Metal		Flexible II, Hard IV*	x1.1						80				+2, x1.2												
null	Crimson Iron	Tool Rod	silentgear:crimson_iron		Metal, Casting, Advanced		Flexible III											x1.1												
null	Green Terracotta	Tool Rod	silentgear:terracotta/green	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Netherrack	Tool Rod	silentgear:netherrack		Rock, Basic, Organic		Eroded II*, Bending II																							
null	Spruce Wood	Tool Rod	silentgear:wood/spruce	Wooden	Wood, Organic		Flexible II																							
null	Topaz	Tool Rod	silentgems:topaz		Gem, Intermediate, Casting																									
null	White Terracotta	Tool Rod	silentgear:terracotta/white	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Tanzanite	Tool Rod	silentgems:tanzanite		Gem, Intermediate, Casting		Sharp II*, Brittle III																							
null	Diamond	Tool Rod	silentgear:diamond		Gem, Casting, Advanced		Brittle V*, Lustrous IV*									x1.2														
null	Uranium	Tool Rod	silentgear:uranium		Metal, Casting, Advanced		Malleable II							40		x1.1							x1.1							
null	Aluminum	Tool Rod	silentgear:aluminum		Intermediate, Metal, Casting		Malleable III, Synergistic II	x1.2						30								x1.1								
null	Alexandrite	Tool Rod	silentgems:alexandrite		Gem, Intermediate, Casting																									
null	Compressed Iron	Tool Rod	silentgear:compressed_iron		Metal, Advanced		Malleable II	x1.25						40																
null	Terracotta	Tool Rod	silentgear:terracotta		Rock, Basic		Brittle II, Crushing I											x1.1												
null	Light Blue Terracotta	Tool Rod	silentgear:terracotta/light_blue	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Nickel	Tool Rod	silentgear:nickel		Intermediate, Metal, Casting		Malleable III	x1.2						40				x1.1												
null	Opal	Tool Rod	silentgems:opal		Gem, Casting, Advanced		Brittle III, Enderbane IV																							
null	Red Terracotta	Tool Rod	silentgear:terracotta/red	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Refined Obsidian	Tool Rod	silentgear:refined_obsidian		Endgame, Metal, Casting		Malleable IV, Hard III*	x1.25						70																
null	Bismuth Brass	Tool Rod	silentgear:bismuth_brass		Intermediate, Metal		Malleable II	x0.9						50		x1.2														
null	Garnet	Tool Rod	silentgems:garnet		Gem, Intermediate, Casting		Jagged III*, Brittle III																							
null	Light Gray Terracotta	Tool Rod	silentgear:terracotta/light_gray	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Bone	Tool Rod	silentgear:bone		Crude, Basic, Organic		Flexible II											x1.2												
null	Iron	Tool Rod	silentgear:iron		Intermediate, Metal, Casting		Flexible II																							
null	Crimson Steel	Tool Rod	silentgear:crimson_steel		Endgame, Metal, Casting		Flexible IV, Sturdy I*									x1.2						+1								
null	Birch Wood	Tool Rod	silentgear:wood/birch	Wooden	Wood, Organic		Flexible II																							
null	Flint	Tool Rod	silentgear:flint		Rock, Basic		Brittle III, Jagged II*																							
null	Red Sandstone	Tool Rod	silentgear:sandstone/red	Sandstone	Rock, Basic		Brittle I																							
null	Rose Quartz	Tool Rod	silentgems:rose_quartz		Gem, Casting, Advanced																									
null	Ruby	Tool Rod	silentgems:ruby		Gem, Intermediate, Casting																									
null	Dark Oak Wood	Tool Rod	silentgear:wood/dark_oak	Wooden	Wood, Organic		Flexible II																							
null	Aluminum Steel	Tool Rod	silentgear:aluminum_steel		Metal, Advanced		Malleable III, Synergistic III	x1.3						45		x1.1														
null	Jungle Wood	Tool Rod	silentgear:wood/jungle	Wooden	Wood, Organic		Flexible II																							
null	Emerald	Tool Rod	silentgear:emerald		Gem, Casting, Advanced		Brittle IV*									x1.3														
null	Brass	Tool Rod	silentgear:brass		Intermediate, Metal, Casting		Malleable II	x1.05						25		x1.05														
null	Rough Wood	Tool Rod	silentgear:wood/rough		Wood, Organic		Crude III, Bending V																							
null	Silver	Tool Rod	silentgear:silver		Intermediate, Metal, Casting		Malleable I, Soft II*							40		x1.1					x1.1									
null	Carnelian	Tool Rod	silentgems:carnelian		Gem, Intermediate, Casting																									
null	Bronze	Tool Rod	silentgear:bronze		Intermediate, Metal, Casting		Flexible I											x1.05												
null	Copper	Tool Rod	silentgear:copper		Metal, Casting, Basic		Bending III, Soft III*									x1.2														
null	Invar	Tool Rod	silentgear:invar		Intermediate, Metal, Casting		Malleable III	x1.3						50				x1.1												
null	Signalum	Tool Rod	silentgear:signalum		Endgame, Metal, Casting		Flexible IV, Lustrous II*			x0.9				50		x1.3														
null	Refined Glowstone	Tool Rod	silentgear:refined_glowstone		Metal, Casting, Advanced		Malleable IV, Lustrous I*	x0.9						45		x1.2														
null	End Stone	Tool Rod	silentgear:end_stone		Rock, Basic		Malleable I, Ancient IV*											+1												
null	Bismuth Steel	Tool Rod	silentgear:bismuth_steel		Metal, Advanced		Malleable III	x1.25						60		x1.15														
null	Aquamarine	Tool Rod	silentgems:aquamarine		Gem, Intermediate, Casting		Fortunate I*, Brittle III																							
null	Zinc	Tool Rod	silentgear:zinc		Metal, Casting, Basic		Malleable II, Soft III*	x0.95						15				x1.05												
null	Breeze Rod	Tool Rod	silentgear:breeze_rod		Metal		Flexible IV, Wind Blast*									x1.2		x1.1				x1.2								
null	Diorite	Tool Rod	silentgear:stone/diorite	Stone	Rock, Basic		Brittle II, Crushing II									x1.1														
null	Lime Terracotta	Tool Rod	silentgear:terracotta/lime	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Black Terracotta	Tool Rod	silentgear:terracotta/black	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
null	Redstone Alloy	Tool Rod	silentgear:redstone_alloy		Intermediate, Metal		Malleable III							45		x1.2														
null	Blaze Gold	Tool Rod	silentgear:blaze_gold		Metal, Casting, Advanced		Flexible III									x1.1														
null	Iolite	Tool Rod	silentgems:iolite		Gem, Intermediate, Casting																									
null	Granite	Tool Rod	silentgear:stone/granite	Stone	Rock, Basic		Brittle II, Crushing II									x1.1														
null	Electrum	Tool Rod	silentgear:electrum		Intermediate, Metal, Casting		Lustrous III*							40					+0.1				x1.1							
null	Andesite	Tool Rod	silentgear:stone/andesite	Stone	Rock, Basic		Brittle II, Crushing II									x1.1														
null	Peridot	Tool Rod	silentgems:peridot		Gem, Intermediate, Casting																									
null	Example	Tool Rod	silentgear:example		Intangible																									
null	Azure Silver	Tool Rod	silentgear:azure_silver		Metal, Casting, Advanced		Bending II	x0.8								+3														
null	Tin	Tool Rod	silentgear:tin		Metal, Casting, Basic		Malleable II, Soft I*							15					+0.2											
null	Meat	Tool Rod	sgearmetalworks:meat		Casting		Organic II, Flexible V, Yummy, Bulky I*									x0.9														
null	End Rod	Tool Rod	silentgear:end_rod		Metal		Flexible IV, Sturdy II, Refractive*									x1.2		x1.1				x1.1								
null	Magenta Terracotta	Tool Rod	silentgear:terracotta/magenta	Terracotta	Rock, Basic		Brittle II, Crushing I											x1.1												
